"","Review #","Brand","Variety","Style","Country","Stars","Top Ten"
"576",2005,"A-Sha Dry Noodle","Hakka Spicy Barbeque Sauce","Pack","Taiwan","4.50",NA
"577",2004,"Nissin","Donbei Dashi Shoyu Yakiudon","Bowl","Japan","3.75",NA
"578",2003,"Nissin","Raoh Rich Miso Flavor","Bowl","Japan","5",NA
"579",2002,"Nissin","Cup Noodles Tom Yum Goong","Cup","Japan","3.8",NA
"580",2001,"Nissin","Cup Noodle Big Seafood Clam Chowder","Cup","Japan","4",NA
"581",2000,"Nissin","Chikin Ramen Donburi","Bowl","Japan","5",NA
"582",1999,"Nissin","Curry Udon","Cup","Japan","5.0",NA
"583",1998,"Nissin","Men Shokunin Shoyu","Bowl","Japan","5.0",NA
"584",1997,"Nissin","Cup Noodle Vegeta Buta-kyabetsu Tonkotsu","Cup","Japan","4.3",NA
"585",1996,"Nissin","Cup Noodle Pasta Style Tarako Spaghetti","Cup","Japan","4.0",NA
"586",1995,"Nissin","Cup Noodle Big Cheese Mexican Chilli","Cup","Japan","5.00",NA
"587",1994,"Nissin","Gyoretsu-no-Dekiru-Mise-no-Ramen (Shrimp Tantanmen)","Bowl","Japan","5",NA
"588",1993,"Nissin","Raoh Tonkotsu","Pack","Japan","5",NA
"589",1992,"Nissin","Cup Noodle Light Plus Ratatouille","Cup","Japan","4.5",NA
"590",1991,"Nissin","Cup Noodle Milk Chikin Ramen","Cup","Japan","5",NA
"591",1990,"Nissin","Cup Noodle","Cup","Japan","5.0",NA
"592",1989,"MyKuali","Penang White curry Noodle Authentic Taste","Pack","Malaysia","5.00",NA
"593",1988,"Mama","Instant Noodles Chicken Soup Flavour","Pack","Myanmar","3.50",NA
"594",1987,"Nissin","Yokohama Walker Iekei Ramen","Bowl","Japan","4.50",NA
"595",1986,"A-Sha Dry Noodle","Quinoa Noodle With Oyster Sauce And Vegetables","Pack","Taiwan","4.25",NA
"596",1985,"Prima","Singapore Prawn Soup La Mian","Pack","Singapore","5",NA
"597",1984,"Nissin","Chinese Tan Tan Vermicelli","Cup","Hong Kong","5.0",NA
"598",1983,"Tokushima Seifun","Tokushima Ramen","Pack","Japan","4",NA
"599",1982,"Master Kong","Assorted Pork Bone Noodle","Pack","China","4",NA
"600",1981,"MyKuali","Penang Red tom Yum Goong Noodle Authentic Taste","Pack","Malaysia","5.0",NA
"601",1980,"Suimin","Noodles Witrh Prawn & Chicken Flavour","Cup","Australia","3.5",NA
"602",1979,"Nissin","BIG Cup Noodle Ajillo","Cup","Japan","3.0",NA
"603",1978,"CarJEN","Nyonya Curry Laksa (Improved Taste)","Pack","Malaysia","5.0",NA
"604",1977,"MyOri","Malaysia Penang Green Curry Vermicelli (New Package)","Pack","Malaysia","5.00",NA
"605",1976,"Itsuki","Kumamoto Spicy Ramen","Pack","Japan","4.25",NA
"606",1975,"Nissin","Soba Fried Noodles Classic","Pack","Germany","3.25",NA
"607",1974,"Samyang","Cheese Curry Ramyun","Pack","South Korea","5",NA
"608",1973,"Nissin","Cup Noodles Sabor Calabresa","Pack","Brazil","4.25",NA
"609",1972,"Doll","Spicy Flavour Instant Mifun","Pack","Hong Kong","2.75",NA
"610",1971,"Fujiwara","Horse Crab Flavour Ramen","Pack","Japan","3.5",NA
"611",1970,"MyOri","Malaysia Penang Red Curry Noodle","Pack","Malaysia","5",NA
"612",1969,"Nongshim","Noodle Soup Seasoned With Real Kimchi","Pack","USA","4.75",NA
"613",1968,"Nissin","Top Ramen Chicken Flavor Ramen Noodle Soup (New Packaging)","Pack","USA","3.5",NA
"614",1967,"Tokushima Seifun","Kinchan Ramen","Pack","Japan","4.5",NA
"615",1966,"Wei Lih","GGE Noodle Snack Wheat Crackers Soy Sauce Ramen","Pack","Taiwan","3.75",NA
"616",1965,"MyKuali","Penang Spicy Prawn Soup Noodle Authentic Taste","Pack","Malaysia","5",NA
"617",1964,"Mama","Instant Noodles Coconut Milk Flavour","Pack","Myanmar","5","2016 #10"
"618",1963,"Kabuto Noodles","Rice Noodles Vegetable Laksa","Cup","UK","3.75",NA
"619",1962,"Kabuto Noodles","Rice Noodles Chicken Pho","Cup","UK","3.5",NA
"620",1961,"Kabuto Noodles","Chicken Ramen","Cup","UK","4.25",NA
"621",1960,"Kabuto Noodles","Chilli Chicken Ramen","Cup","UK","4",NA
"622",1959,"Myojo","Charumera Shoyu Ramen","Pack","Japan","4",NA
"623",1958,"IbuRamen","Mi Goreng Bento Noodles In A Box Curry Masala Flavour","Tray","USA","4",NA
"624",1957,"Mama","Cup Vegetarian Instant Noodles Tom Yum Flavour","Cup","Thailand","4",NA
"625",1956,"Maruchan","Spicy Tomato Salsa Ramen","Cup","Japan","0",NA
"626",1955,"Nissin","Raoh Ramen Noodle Soup Umami Soy Sauce Flavor","Pack","USA","4.75",NA
"627",1954,"Koh Thai","Island Of Flavours Spicy Thai Chicken Instant Noodles Soup","Pack","Netherlands","2",NA
"628",1953,"Prima","Singapore Fish Soup La Mian","Pack","Singapore","5",NA
"629",1952,"Ve Wong","Kung-Fu Brand Instant Oriental Noodle Soup Artificial Beef Flavor","Pack","Taiwan","3.75",NA
"630",1951,"Nissin","Cup Noodles Ramen Noodle Soup Hearty Chicken Flavor [New Package]","Cup","USA","4.25",NA
"631",1950,"Fujiwara","Red King Crab Flavour Ramen","Pack","Japan","4",NA
"632",1949,"Bamee","Oriental Style Instant Noodles Shrimp Flavour (Tom Yum)","Pack","Thailand","3.5",NA
"633",1948,"Sichuan Baijia","Artificial Pickled Cabbage Fish Flavor Instant Vermicelli","Pack","China","1.5",NA
"634",1947,"Prima","Singapore Laksa Wholegrain La Mian","Pack","Singapore","5","2016 #1"
"635",1946,"Nissin","Raoh Shio Ramen","Pack","Japan","4.75",NA
"636",1945,"Mama","Oriental Style Instant Noodles Masala Flavour","Pack","Bangladesh","3.5",NA
"637",1944,"Wei Lih","GGE Noodle Snack Wheat Crackers Hot Spicy","Pack","Taiwan","5",NA
"638",1943,"New Touch","Sugomen Niigata Seabura Shoyu Ramen","Bowl","Japan","5",NA
"639",1942,"Ibumie","Always Mi Goreng Perisa Sambal Udang","Pack","Malaysia","3.5",NA
"640",1941,"Unox","Good Noodles Tandoori","Pack","Netherlands","2.5",NA
"641",1940,"Nissin","Cup Noodle Pasta Style Bolognese","Cup","Japan","5",NA
"642",1939,"Mama","Instant Noodles Shrimp Creamy Tom Yum Flavour","Pack","Myanmar","5",NA
"643",1938,"Nissin","Donbei Kamodashi Soba","Bowl","Japan","5",NA
"644",1937,"Mama","Chicken Soup Flavour Cup Noodles","Cup","Myanmar","3.75",NA
"645",1936,"Fortune","Rice Noodle Coconut Curry","Pack","USA","1",NA
"646",1935,"Love Cook","Guanmiao Dried Noodles With Oleum Sesami","Pack","Taiwan","3.75",NA
"647",1934,"Love Cook","Guanmiao Dried Noodles With Spicy Sauce","Pack","Taiwan","5",NA
"648",1933,"Love Cook","Guanmiao Dried Noodles With Authentic Sauce","Pack","Taiwan","4.5",NA
"649",1932,"Love Cook","Guanmiao Dried Noodles With Shallot Flavor","Pack","Taiwan","3.75",NA
"650",1931,"Bonasia","Instant Noodles chicken Flavour","Pack","Hungary","3.75",NA
"651",1930,"Koh Thai","Island Of Flavours Lemongrass Instant Noodles Soup","Pack","Netherlands","0.25",NA
"652",1929,"Mama","Instant Noodles Minced Pork Flavour","Pack","Cambodia","3.50",NA
"653",1928,"Bamee","Instant Noodles Oriental Style Chicken Flavour","Pack","Thailand","3",NA
"654",1927,"Marutai","Kogashi Megiiri Tonkotsu Kagoshima Ramen","Bowl","Japan","3.5",NA
"655",1926,"Nissin","Bowl Noodles Hot & Spicy Chicken Flavor Less Sodium Ramen Noodle Soup","Bowl","USA","4",NA
"656",1925,"Prima","Juzz's Mee Creamy Chicken Flavour","Pack","Singapore","5","2016 #8"
"657",1924,"Sichuan Baijia","Broad Noodle Artificial Beef Flavor","Pack","China","3.5",NA
"658",1923,"Conimex","Oriental Noodles Teriyaki","Cup","Netherlands","0.5",NA
"659",1922,"Mi Sedaap","Instant Cup Mi Kuah Rasa Baso Spesial","Cup","Indonesia","1.5",NA
"660",1921,"Nissin","Cup Noodles Ramen Noodle Soup Chicken Flavor [New Package]","Cup","USA","3.5",NA
"661",1920,"Itsuki","Ramen Tonkotudou Kumamoto Noodles","Pack","Japan","0.75",NA
"662",1919,"Maruchan","Shiroi Chikara Mochi Udon","Bowl","Japan","4.5",NA
"663",1918,"iMee","Instant Noodles chicken Flavour","Pack","Netherlands","3.5",NA
"664",1917,"IbuRamen","Mi Goreng Bento Noodles In A Box Hot Sweet & Sour Flavor","Tray","USA","0.25",NA
"665",1916,"Nissin","Soba Fried Noodles Teriyaki","Pack","Germany","3",NA
"666",1915,"Itsuki","Yuzu Sesame Sauce Udon","Bowl","Japan","4.5",NA
"667",1914,"Prima","Juzz's Mee Curry Flavour","Pack","Singapore","5",NA
"668",1913,"Thai Smile","Mushroom Rice Noodle Soup Bowl","Bowl","USA","0",NA
"669",1912,"Mama","Instant Noodles Chicken Sichek Flavour","Pack","Myanmar","3.75",NA
"670",1911,"Nissin","Emergency Chikin Ramen Cup Noodle","Cup","Japan","5",NA
"671",1910,"Nissin","Chow Mein Pad Thai","Tray","USA","3",NA
"672",1909,"Asia Gold","Instant Noodles With Chicken Flavouring","Pack","Hungary","3.5",NA
"673",1908,"Nissin","Kuroma-yu Tonkotsu Kumamoto Ramen","Bowl","Japan","4.75",NA
"674",1907,"Prima","Singapore Curry Wholegrain La Mian","Pack","Singapore","5","2016 #5"
"675",1906,"Vifon","Chicken Flavour Asian Style Instant Noodles","Pack","Vietnam","3.5",NA
"676",1905,"Pirkka","Nuudeli Kana Nudlar Kyckling","Pack","Finland","3.5",NA
"677",1904,"Bonasia","Instant Noodles Duck Flavour","Pack","Hungary","3",NA
"678",1903,"Higashimaru","Tonkotsu Ramen","Pack","Japan","4.5",NA
"679",1902,"Mama","Seafood Tom Yum Sichek Flavour","Pack","Myanmar","5",NA
"680",1901,"Prima","Juzz's Mee Original Spicy Flavour","Pack","Singapore","5",NA
"681",1900,"Ibumie","Always Mi Goreng Perisa Kari Kapitan","Pack","Malaysia","5",NA
"682",1899,"Koh Thai","Island Of Flavours Thai Royal Shrimp Instant Noodles","Pack","Netherlands","1.5",NA
"683",1898,"Master Kong","Spicy Fish Noodle","Bowl","China","3",NA
"684",1897,"Nissin","Cup Noodle Massaman Curry","Cup","Japan","3.5",NA
"685",1896,"Asia Gold","Instant Noodles Duck Flavour","Pack","Hungary","3.5",NA
"686",1895,"Maruchan","Seimen Houjyun Koku Shoyu","Bowl","Japan","5",NA
"687",1894,"Mama","Rangers Snack Noodles BBQ Flavour","Pack","Myanmar","2.75",NA
"688",1893,"Nissin","Cup Noodle Sio","Cup","Japan","5",NA
"689",1892,"Ottogi","Cheese Ramen","Pack","South Korea","4",NA
"690",1891,"Nissin","Cup Noodles Homestyle Chicken","Cup","USA","3.5",NA
"691",1890,"Kuriki","Beef Tongue Shio Mayo Ramen","Pack","Japan","4.5",NA
"692",1889,"Mama","Rangers Snack Noodles Sour Cream Flavour","Pack","Myanmar","2.75",NA
"693",1888,"Nissin","Cup Noodles Kyushu White Flavour","Cup","Singapore","3.5",NA
"694",1887,"Myojo","Mee Poh Dry","Pack","Singapore","4.25",NA
"695",1886,"Myojo","Chicken Abalone Flavour","Bowl","Singapore","3.75",NA
"696",1885,"Myojo","Ramen Char Mee 100","Pack","Singapore","3",NA
"697",1884,"Myojo","La Ramen Spicy Mushroom Flavour Big Bowl","Bowl","Singapore","4.5",NA
"698",1883,"Myojo","Mee Goreng","Pack","Singapore","4",NA
"699",1882,"Myojo","La Ramen Spicy Lobster Hot Pot Flavour Big Bowl","Bowl","Singapore","4.75",NA
"700",1881,"Myojo","Chicken Abalone Flavour","Pack","Singapore","3.5",NA
"701",1880,"Myojo","Thai Tom Yam Flavour","Bowl","Singapore","3.75",NA
"702",1879,"Myojo","Chicken Tanmen Flavour","Pack","Singapore","3.5",NA
"703",1878,"Myojo","Extra Spicy Singapore Curry Big Bowl","Bowl","Singapore","5",NA
"704",1877,"Myojo","La Ramen Spicy Mushroom Flavour","Pack","Singapore","4.5",NA
"705",1876,"Myojo","Chicken Flavour","Pack","Singapore","3.75",NA
"706",1875,"Sapporo Ichiban","Tonkotsu Ramen Artificially Flavored Tonkotsu White Chicken Broth","Pack","USA","5",NA
"707",1874,"Ibumie","Always Mi Goreng Perisa Thai Tom Yam","Pack","Malaysia","2.5",NA
"708",1873,"Vedan","Wei Wei A Instant Noodles Chicken Flavor","Bowl","Taiwan","0",NA
"709",1872,"Itsuki","Hakata Ossyoi","Pack","Japan","5",NA
"710",1871,"Nissin","Cup Noodles Minced Pork Flavour","Cup","Thailand","3.75",NA
"711",1870,"Asia Gold","Instant Noodles With Beef Flavouring","Pack","Hungary","2.75",NA
"712",1869,"Nissin","Soba Fried Noodles Chili","Pack","Germany","3.5",NA
"713",1868,"Marutai","Kuroma-yu Tonkotsu Kumamoto Ramen","Bowl","Japan","4",NA
"714",1867,"Yum Yum","Premier Bowl Instant Noodles Stewed Pork Flavour","Bowl","Thailand","4",NA
"715",1866,"MyKuali","Penang Spicy Prawn Soup Noodle","Pack","Malaysia","5",NA
"716",1865,"Mama","Shrimp Tom Yum Flavour Cup Noodles","Cup","Myanmar","3.5",NA
"717",1864,"Nissin","Raoh Ramen Noodle Soup Umami Tonkotsu Flavor","Pack","USA","5",NA
"718",1863,"Baijia","Broad Noodle Pickled Vegetable Artificial Beef Flavor","Pack","China","0",NA
"719",1862,"Ibumie","Always Mi Goreng Perisa Asli","Pack","Malaysia","3.75",NA
"720",1861,"Conimex","Oriental Noodles Groene Curry","Cup","Netherlands","0.5",NA
"721",1860,"Nissin","Cupo Noodle Pasta Style Vongole","Cup","Japan","2.75",NA
"722",1859,"Mama","Instant Noodles chicken Green Curry Flavour","Pack","Cambodia","5",NA
"723",1858,"Myojo","Wantan Men","Bowl","Japan","5",NA
"724",1857,"IbuRamen","Mi Goreng Bento Noodles In A Box Shallot Teriyaki Flavor","Tray","USA","3.25",NA
"725",1856,"Indomie","Instant Cup Noodles Mi Goreng Fried Noodles","Cup","Indonesia","5",NA
"726",1855,"Daraz","Negi Man Ramen","Pack","Japan","3",NA
"727",1854,"Mama","Chinese Kitchen Chinese Style Instant Noodles","Pack","Myanmar","3.5",NA
"728",1853,"Bonasia","Instant Noodles Shrimp Flavour","Pack","Hungary","3.5",NA
"729",1852,"Myojo","Udon Japanese Style Precooked Noodles With Soup Hot & Spicy Flavor","Bowl","USA","3.25",NA
"730",1851,"Fujiwara","Snow Crab Flavour Shio Ramen","Pack","Japan","3.5",NA
"731",1850,"Nissin","Raoh Ramen Noodle Soup Umami Miso Flavor","Pack","USA","4.5",NA
"732",1849,"Pama","Instant Rice Vermicelli Clear Soup Flavour","Pack","Malaysia","3.5",NA
"733",1848,"MyKuali","Penang Red tom Yum Goong Noodle (New Version)","Pack","Malaysia","5",NA
"734",1847,"Conimex","Oriental Noodles Hot & Spicy","Pack","Netherlands","3",NA
"735",1846,"Nissin","Chow Mein Savory Sauce And Restayrant Quality Noodles Roast Chicken Flavor","Tray","USA","4.5",NA
"736",1845,"Mama","Oriental Style Instant Noodles Shrimp Flavour","Pack","Bangladesh","3.25",NA
"737",1844,"Seven & I","Gold Sumire Ramen","Bowl","Japan","5",NA
"738",1843,"Forest Noodles","Sunbaked Noodles With Sesame Sauce","Pack","Taiwan","4.5",NA
"739",1842,"Forest Noodles","Purple Sweet Potato Noodles With Taiwanese Sauce","Pack","Taiwan","5",NA
"740",1841,"Forest Noodles","Sunbaked Noodles With Spicy Sauce","Pack","Taiwan","4",NA
"741",1840,"Forest Noodles","Sweet Potato Noodles With Sesame Paste Sauce","Pack","Taiwan","3.25",NA
"742",1839,"Vit's","Taste Of Malaysia Penang White Curry Ramen","Pack","Malaysia","5",NA
"743",1838,"Vit's","Taste Of Malaysia Penang Asam Laksa Fried Instant Noodle","Pack","Malaysia","4.5",NA
"744",1837,"Vit's","Taste Of Malaysia Penang Hokkien Mee Ramen","Pack","Malaysia","5",NA
"745",1836,"Vit's","Taste Of Malaysia Penang White Curry Fried Instant Noodle","Pack","Malaysia","5",NA
"746",1835,"Vit's","Taste Of Malaysia Penang Asam Laksa Ramen","Pack","Malaysia","5",NA
"747",1834,"Vit's","Taste Of Malaysia Penang Hokkien Mee Fried Instant Noodle","Pack","Malaysia","5",NA
"748",1833,"Vit's","Instant Noodles With Chicken Flavour","Pack","Malaysia","3.75",NA
"749",1832,"Yum Yum","Instant Flat Shaped Noodles Boat Noodles Nam Tok Flavour","Pack","Thailand","3.5",NA
"750",1831,"Kuriki","Plum Mayo Ramen","Pack","Japan","4",NA
"751",1830,"Tseng Noodles","Sichuan Pepper Flavor","Pack","Taiwan","4.75",NA
"752",1829,"Tseng Noodles","Hu Sesame Flavor","Pack","Taiwan","5",NA
"753",1828,"Tseng Noodles","Scallion With Sichuan Pepper  Flavor","Pack","Taiwan","5","2016 #9"
"754",1827,"Nongshim","Zha Wang ((Jjawang) Noodles With Chajang Sauce","Pack","South Korea","5",NA
"755",1826,"Mama","Instant Noodles Stewed Beef Flavour","Pack","Cambodia","3.5",NA
"756",1825,"Sichuan Baijia","Broad Noodle Chilli Oil Flavor","Pack","China","4.5",NA
"757",1824,"Nongshim","Soon Veggie Noodle Soup","Cup","USA","5",NA
"758",1823,"MyKuali","MeeKuali spicy Fried Noodle","Pack","Malaysia","4",NA
"759",1822,"Mi Sedaap","Mi Kuah Rasa Baso Spesial","Pack","Indonesia","3.5",NA
"760",1821,"Myojo","Udon Japanese Style Pre-Cooked Noodles With Soup Beef Flavor","Bowl","USA","3.25",NA
"761",1820,"Ten-In","Veggie King Buddha Jump Instant Noodles","Bowl","Taiwan","1.5",NA
"762",1819,"Yum Yum","Premier Bowl Instant Noodles Suki Flavour","Bowl","Thailand","5",NA
"763",1818,"Sugakiya Foods","Nara Tenri Shoyu Ramen","Bowl","Japan","4.5",NA
"764",1817,"Hao Way","Penang Vegetarian Prawn Instant Bowl Noodles","Bowl","Malaysia","4",NA
"765",1816,"Vifon","Asian Style Instant Noodles Artificial Beef Flavor","Bowl","Vietnam","3.25",NA
"766",1815,"Nakaya Shouten","Hingya no Shio Ramen","Pack","Japan","4",NA
"767",1814,"Koh Thai","Island Of Flavours Tom Yum Instant Noodles Soup","Pack","Netherlands","3",NA
"768",1813,"Nissin","Soba Fried Noodles Curry","Pack","Germany","4.25",NA
"769",1812,"Master Kong","Mushroom Instant Noodle","Bowl","China","4.25",NA
"770",1811,"Conimex","Oriental Noodles Oosterse Groenten","Pack","Netherlands","3.5",NA
"771",1810,"MyKuali","Penang White Curry Noodle (New Version)","Pack","Malaysia","5",NA
"772",1809,"Marutai","Nagahama Hakata Tonkotsu Ramen","Bowl","Japan","4.75",NA
"773",1808,"Mama","Vegetarian Instant Cup Noodle Tofu & Shiitake Flavour","Cup","Thailand","3.5",NA
"774",1807,"Wai Wai","Tom Yum Goong Flavour Instant Noodle","Cup","Thailand","3.5",NA
"775",1806,"Cintan","Mi Segera Mmm... Perisa Goreng Ala Indonesia","Pack","Malaysia","3.5",NA
"776",1805,"Mama","Oriental Style Instant Noodles Tandoori Flavour","Pack","Bangladesh","4",NA
"777",1804,"Thai Chef","Oriental Style Instant Noodles Shrimp Creamy Tom Yum Flavour","Pack","Hungary","4.75",NA
"778",1803,"Mama","Vegetarian Instant Noodles Tom Yum Flavour","Pack","Thailand","4",NA
"779",1802,"Nissin","Cup Noodles Ramen Noodles Ramen Noodle Soup Beef Flavor (New Package)","Cup","USA","3.5",NA
"780",1801,"Baijia","Spicy Artificial Fei Chang Instant Vermicelli (New Recipe)","Pack","China","3.75",NA
"781",1800,"Crystal Noodle","Soup All Natural Hot & Sour","Cup","USA","0.25",NA
"782",1799,"Thai Smile","Spring Onion Rice Noodle Soup Bowl","Bowl","USA","2.5",NA
"783",1798,"iMee","Instant Noodles Vegetable Flavour","Pack","Netherlands","2.75",NA
"784",1797,"Wai Wai","Instant Rice Vermicelli Crab Flavour","Pack","Thailand","3.5",NA
"785",1796,"Fujiwara","Salty Taste Chanko Noodle","Pack","Japan","4.75",NA
"786",1795,"Azami","Kimchee Flavour Noodle Soup","Pack","Canada","0",NA
"787",1794,"Vit's","Shallot Chicken Instant Noodles","Pack","Malaysia","3",NA
"788",1793,"Cintan","Mi Segera Mmm... Perisa Asam Laksa","Pack","Malaysia","3.5",NA
"789",1792,"A1","Soup Spices Noodle Mee Rempahan Sup","Pack","Malaysia","3.5",NA
"790",1791,"Vit's","Tom Yam Instant Noodles","Pack","Malaysia","4.25",NA
"791",1790,"Super","Kimchi","Cup","Malaysia","4.5",NA
"792",1789,"Cintan","Mi Segera Mmm... Perisa Ayam Cendawan","Pack","Malaysia","3.5",NA
"793",1788,"Super","Curry Flavour Noodles","Cup","Malaysia","3",NA
"794",1787,"Pama","Kua Teaw Segera","Pack","Malaysia","4",NA
"795",1786,"Nissin","Chow Mein Premium Savory Sauce And Restaurant Quality Noodles Sriracha Flavor","Tray","USA","4.25",NA
"796",1785,"Super","Instant Noodles Black Pepper Crab Mi Goreng","Cup","Malaysia","3.5",NA
"797",1784,"Torishi","Hakata Tonkotsu Ramen","Pack","Japan","5",NA
"798",1783,"iMee","Instant Noodles Creamy Tom Yum Shrimp Flavour","Pack","Netherlands","4.5",NA
"799",1782,"Western Family","Beef Flavour Instant Noodles","Pack","Canada","0",NA
"800",1781,"MyKuali","Penang Hokkien Prawn Soup Rice Vermicelli (Bihun)","Bowl","Malaysia","5",NA
"801",1780,"Pulmuone","Non-Fried Noodle Blackbean Sauce Noodle With Squid","Pack","South Korea","4.5",NA
"802",1779,"Chering Chang","Instant Non-Fried Noodles Tomato Flavour","Pack","Taiwan","3.25",NA
"803",1778,"JML","Spicy King Spicy Chicken","Pack","China","5",NA
"804",1777,"JML","Supereme Bowl Noodles With Stewed Egg Spicy Flavour","Bowl","China","3.5",NA
"805",1776,"JML","Spicy King Bowl Noodle Spicy Chicken","Bowl","China","5",NA
"806",1775,"JML","Spicy King Bowl Noodle Spicy Beef","Bowl","China","4.25",NA
"807",1774,"JML","Spicy King Spicy Pork","Pack","China","5",NA
"808",1773,"JML","Supreme Bowl Noodles With Stewed Egg Sour Beans With Pork Flavour","Bowl","China","4",NA
"809",1772,"JML","Spicy King Spicy Beef","Pack","China","5",NA
"810",1771,"JML","Supreme Bowl Noodles With Stewed Egg Braised Beef Flavour","Bowl","China","3.5",NA
"811",1770,"JML","Spicy King Bowl Noodle Spicy Pork","Bowl","China","4.5",NA
"812",1769,"Mamee","Chef Lontong Flavour","Pack","Malaysia","5",NA
"813",1768,"New Touch","Negi Miso No Ippin Ramen","Bowl","Japan","5",NA
"814",1767,"Mama","Instant Noodles Shrimp Tom Yum Flavour","Pack","Cambodia","4",NA
"815",1766,"Paldo","Bulnak Boeummyun King Noodle","Bowl","South Korea","3.5",NA
"816",1765,"Nissin","Cup Noodles Ramen Noodles With Shrimp (New Package)","Cup","USA","3.5",NA
"817",1764,"Pirkka","Nuudeli Tom Yum Katkarapu","Pack","Finland","3.75",NA
"818",1763,"Ishimaru","Tuna Flavor Ramen","Pack","Japan","4.5",NA
"819",1762,"Mom's Dry Noodle","Sesame & Pepper","Pack","Taiwan","4",NA
"820",1761,"Authentically Asian","Natural Quality Foods Pad Thai Noodle Bowl","Bowl","USA","1",NA
"821",1760,"New Touch","Homestyle Tonjiru","Bowl","Japan","4.5",NA
"822",1759,"Nissin","Cup Noodles Moo Manao Flavour","Cup","Thailand","4",NA
"823",1758,"Vit's","Duck Instant Noodles","Pack","Malaysia","3.5",NA
"824",1757,"iMee","Instant Noodles Beef Flavour","Pack","Netherlands","3.25",NA
"825",1756,"A-Sha Dry Noodle","Veggie Noodle Carrot Noodle With Original Sauce","Pack","Taiwan","4.25",NA
"826",1755,"Mama","Oriental Style Instant Noodles Hot & Spicy Flavour","Pack","Bangladesh","4",NA
"827",1754,"Paldo","King Bowl Super Spicy Pan Stirfried Noodle","Bowl","South Korea","5",NA
"828",1753,"Thai Smile","Garlic Rice Noodle Soup Bowl","Bowl","USA","3.5",NA
"829",1752,"Kuriki","Mayo Ramen","Pack","Japan","4.75",NA
"830",1751,"Mom's Dry Noodle","Spicy & Sour Flavor","Pack","Taiwan","5",NA
"831",1750,"Mi Sedaap","Instant Cup Mi Kuah Rasa Soto","Cup","Indonesia","5",NA
"832",1749,"Yum Yum","Jumbo Instant Noodles Tom Yum Kung Creamy Flavour","Pack","Thailand","5",NA
"833",1748,"Azami","Chili Chicken Flavour Noodle Soup","Cup","Canada","3",NA
"834",1747,"Vit's","Curry Instant Noodles","Pack","Malaysia","3.5",NA
"835",1746,"Marutai","Ramen Shoyu Taste","Bowl","Japan","4.25",NA
"836",1745,"Unox","Good Noodles Kerrie","Pack","Netherlands","3.5",NA
"837",1744,"A-Sha Dry Noodle","Veggie Noodle Baby Grass Noodle With Toona Sauce","Pack","Taiwan","5",NA
"838",1743,"Mama","Rangers Snack Noodles Shrimp Tom Yum Flavour","Pack","Myanmar","4.5",NA
"839",1742,"Aroi","Curry Me! Penang White Curry Stir-fry Noodle","Pack","Malaysia","4.5",NA
"840",1741,"Myojo","Udon Japanese Style Pre-Cooked Noodles With Soup Chicken Flavor","Bowl","USA","2.5",NA
"841",1740,"Master Kong","Braised Beef Noodle","Pack","China","4.25",NA
"842",1739,"Nissin","Raoh Tanrei Koku Shio Ramen","Bowl","Japan","4.5",NA
"843",1738,"Little Cook","Instant Noodles Shrimp Tom Yum Flavour","Cup","Thailand","4.25",NA
"844",1737,"Mi Sedaap","Instant Cup Mi Goreng","Cup","Indonesia","3.75",NA
"845",1736,"Mamee","Monster Snek Mi Pedas","Pack","Malaysia","5",NA
"846",1735,"Master Kong","Tomato Sauce Instant Noodle","Bowl","China","4",NA
"847",1734,"Koka","Laksa Singapura","Pack","Singapore","4.25",NA
"848",1733,"Bonasia","Instant Noodles Beef Flavour","Pack","Germany","3.75",NA
"849",1732,"Super","Seafood Flavour Noodles","Cup","Malaysia","3.25",NA
"850",1731,"Mama","Instant Noodles Creamy Shrimp Tom Yum Flavour","Pack","Cambodia","5",NA
"851",1730,"Wu Mu","BBQ Pork Flavor Chow Mein","Pack","Taiwan","4.5",NA
"852",1729,"Vedan","Zan Vegetarian Instant Noodle Series Shiitake Mushroom Flavour","Cup","Taiwan","2.75",NA
"853",1728,"Yamadai","Tenobe Somen","Bowl","Japan","3.25",NA
"854",1727,"Wei Lih","Jah Jan Men","Bowl","Taiwan","5",NA
"855",1726,"Vina Acecook","Oh! Ricey Pho Ga","Bowl","Vietnam","3",NA
"856",1725,"A-Sha Dry Noodle","Veggie Noodle Black Sesame Noodle","Pack","Taiwan","3.25",NA
"857",1724,"Pirkka","Nuudeli Liha Nudlar Kott","Pack","Finland","3.5",NA
"858",1723,"Baixiang Noodles","Artificial Beef Instant Noodles With Soup Base","Pack","China","3.75",NA
"859",1722,"CarJEN","Otentiq Cheezy Curry Instant Noodles","Pack","Malaysia","4.5",NA
"860",1721,"Salam Mie","Mi Goreng Dengan Abon","Pack","Indonesia","4.25",NA
"861",1720,"Mamee","Chef Lontong Flavour","Cup","Malaysia","5",NA
"862",1719,"Wai Wai","Grilled Pork Flavour Instant Noodles","Bowl","Thailand","2.5",NA
"863",1718,"Vina Acecook","Hao Hao Sate Onion Flavour","Cup","Vietnam","2.5",NA
"864",1717,"Lee Fah Mee","Sarawak White Laksa Instant Noodle","Pack","Sarawak","4",NA
"865",1716,"Mama","Instant Noodles Egg Protein Noodles","Pack","Myanmar","3.5",NA
"866",1715,"Yum Yum","Instant Noodles Minced Pork Flavor","Pack","Thailand","3.75",NA
